date_key,full_date,day_of_week,day_name,week_of_month,is_weekend,is_month_start,is_month_end
20260301,2026-03-01,6,Chủ nhật,1,True,True,False
20260302,2026-03-02,0,Thứ 2,1,False,False,False
20260303,2026-03-03,1,Thứ 3,1,False,False,False
20260304,2026-03-04,2,Thứ 4,1,False,False,False
20260305,2026-03-05,3,Thứ 5,1,False,False,False
20260306,2026-03-06,4,Thứ 6,1,False,False,False
20260307,2026-03-07,5,Thứ 7,1,True,False,False
20260308,2026-03-08,6,Chủ nhật,2,True,False,False
20260309,2026-03-09,0,Thứ 2,2,False,False,False
20260310,2026-03-10,1,Thứ 3,2,False,False,False
20260311,2026-03-11,2,Thứ 4,2,False,False,False
20260312,2026-03-12,3,Thứ 5,2,False,False,False
20260313,2026-03-13,4,Thứ 6,2,False,False,False
20260314,2026-03-14,5,Thứ 7,2,True,False,False
20260315,2026-03-15,6,Chủ nhật,3,True,False,False
20260316,2026-03-16,0,Thứ 2,3,False,False,False
20260317,2026-03-17,1,Thứ 3,3,False,False,False
20260318,2026-03-18,2,Thứ 4,3,False,False,False
20260319,2026-03-19,3,Thứ 5,3,False,False,False
20260320,2026-03-20,4,Thứ 6,3,False,False,False
20260321,2026-03-21,5,Thứ 7,3,True,False,False
20260322,2026-03-22,6,Chủ nhật,4,True,False,False
20260323,2026-03-23,0,Thứ 2,4,False,False,False
20260324,2026-03-24,1,Thứ 3,4,False,False,False
20260325,2026-03-25,2,Thứ 4,4,False,False,False
20260326,2026-03-26,3,Thứ 5,4,False,False,False
20260327,2026-03-27,4,Thứ 6,4,False,False,False
20260328,2026-03-28,5,Thứ 7,4,True,False,False
20260329,2026-03-29,6,Chủ nhật,5,True,False,False
20260330,2026-03-30,0,Thứ 2,5,False,False,False
20260331,2026-03-31,1,Thứ 3,5,False,False,True
